cluster;count;top_words;negative_score;sample;negativity_ratio;insight
140;87;['excellent', 'application', 'word', 'lovely', 'indeed', 'attractive', 'kind'];0;nice;0.0;excellent / application / word / lovely / indeed / attractive / kind
144;62;['helpful', 'helpfull', 'sooo', 'helping', 'tool'];0;nice;0.0;helpful / helpfull / sooo / helping / tool
145;122;[];0;nice;0.0;
146;108;['work', 'best', 'works', 'ideas', 'excilent'];0;good work;0.0;work / best / works / ideas / excilent
137;198;['best', 'rite', 'okayy'];0;ok;0.0;best / rite / okayy
163;59;['useful', 'usefull', 'information', 'handy', 'noice', 'tysm', 'usefuleasy'];0;usefull;0.0;useful / usefull / information / handy / noice / tysm / usefuleasy
147;64;[];0;nice;0.0;
148;56;['super'];0;super;0.0;super
149;57;[];0;good;0.0;
138;73;['perfect'];0;perfect;0.0;perfect
150;114;['super', 'application', 'apps', 'ganda', 'amazing', 'learners', 'premium'];0;nice;0.0;super / application / apps / ganda / amazing / learners / premium
162;78;['satisfied', 'luck', 'best', 'satisfactory', 'super', 'really', 'totally'];0;good luck;0.0;satisfied / luck / best / satisfactory / super / really / totally
194;76;['beautiful', 'pretty', 'thank', 'looking', 'because', 'amazing', 'life'];0;very nice and beautiful;0.0;beautiful / pretty / thank / looking / because / amazing / life
164;59;['beautiful', 'gorgeous', 'wonderful', 'cantik', 'creation', 'varry', 'bright'];0;beautiful;0.0;beautiful / gorgeous / wonderful / cantik / creation / varry / bright
190;67;['canav', 'canwa', 'everything', 'period'];0;i love canva;0.0;canav / canwa / everything / period
245;54;['picture', 'photo', 'photos', 'image', 'pics', 'beautiful', 'pictures'];0;i think that the picture show amazing;0.0;picture / photo / photos / image / pics / beautiful / pictures
235;94;['presentation', 'presentations', 'making', 'easy', 'slide', 'helpful', 'help'];0;so comfortable for making presentations;0.0;presentation / presentations / making / easy / slide / helpful / help
225;72;['work', 'easy', 'makes', 'easier', 'professional', 'making', 'helpful'];0;it was easier to finish my work;0.0;work / easy / makes / easier / professional / making / helpful
223;72;['useful', 'mazing', 'ever', 'seen', 'handy'];0;very useful app;0.0;useful / mazing / ever / seen / handy
215;91;['application', 'amazing', 'software', 'awesome', 'program', 'excellent', 'wonderful'];0;really nice application;0.0;application / amazing / software / awesome / program / excellent / wonderful
214;105;['best', 'easy', 'tool', 'features', 'platform', 'options', 'ever'];0;great tool wit ai access;0.0;best / easy / tool / features / platform / options / ever
213;79;['really', 'work', 'tqvm', 'sucsess', 'doing', 'easy', 'fast'];0;wow i really good for work;0.0;really / work / tqvm / sucsess / doing / easy / fast
208;211;['recommend', 'best', 'really', 'amazing', 'recommended', 'super', 'would'];0;i love it bro and yeah am not a bot just msg me if any doubt;0.0;recommend / best / really / amazing / recommended / super / would
207;58;['loving', 'program', 'bloody', 'mannnnnn', 'works', 'game', 'changer'];0;love this app;0.0;loving / program / bloody / mannnnnn / works / game / changer
206;84;['appp', 'because', 'different', 'explore', 'family', 'appppp', 'amezing'];0;i love this app;0.0;appp / because / different / explore / family / appppp / amezing
204;63;['business', 'small', 'easy', 'helpful', 'perfect', 'useful', 'without'];0;helps me a lot with growing my small business;0.0;business / small / easy / helpful / perfect / useful / without
195;169;['thank', 'thanks', 'thankyou', 'wishes', 'super', 'amazing', 'awesome'];0;thankyou;0.0;thank / thanks / thankyou / wishes / super / amazing / awesome
130;96;['best'];0;best;0.0;best
192;102;['happy', 'excited', 'super', 'awesome', 'satisfaction', 'proud', 'exciting'];0;this making me happy;0.0;happy / excited / super / awesome / satisfaction / proud / exciting
188;166;['useful', 'best', 'really', 'handy', 'usefull', 'usesfull', 'quite'];0;very useful;0.0;useful / best / really / handy / usefull / usesfull / quite
165;58;['work', 'lovely', 'prectice', 'bagus', 'veri'];0;nice work;0.0;work / lovely / prectice / bagus / veri
187;106;['best', 'ever', 'bestest', 'greatest', 'year', 'everrr', 'must'];0;best app ever;0.0;best / ever / bestest / greatest / year / everrr / must
186;65;['best', 'rating', 'rate', 'percent', 'amazing', 'ever', 'point'];0;amazing 1010 the best to ever do it;0.0;best / rating / rate / percent / amazing / ever / point
184;72;['favorite', 'encanta', 'favourite', 'everything', 'words', 'always', 'them'];0;i love you so much;0.0;favorite / encanta / favourite / everything / words / always / them
181;76;['cool', 'super', 'pretty', 'trop', 'know', 'thin', 'coolest'];0;very nice n cool;0.0;cool / super / pretty / trop / know / thin / coolest
180;74;['really', 'aapp', 'absolutely', 'wish', 'first', 'made', 'feel'];0;very good aap;0.0;really / aapp / absolutely / wish / first / made / feel
179;62;['quality', 'superb', 'high', 'best', 'super', 'standard', 'format'];0;superb quality;0.0;quality / superb / high / best / super / standard / format
176;126;['really', 'buena', 'life', 'talwiinder', 'etertinment', 'world', 'saque'];0;very good app;0.0;really / buena / life / talwiinder / etertinment / world / saque
175;61;['features', 'worthy'];0;very good app;0.0;features / worthy
173;58;['experience', 'well', 'beat', 'wrost', 'easy', 'grate', 'supeb'];0;good experience;0.0;experience / well / beat / wrost / easy / grate / supeb
172;57;['helpful', 'informative', 'supre', 'vert', 'helpul', 'helping', 'help'];0;helpful;0.0;helpful / informative / supre / vert / helpul / helping / help
171;83;['godd', 'gods', 'bless', 'jesus', 'life', 'assalam', 'walekum'];0;gud;0.0;godd / gods / bless / jesus / life / assalam / walekum
170;58;['think', 'effective', 'team', 'enjoying', 'awesome', 'fabulous', 'really'];0;its very good;0.0;think / effective / team / enjoying / awesome / fabulous / really
168;52;['verry', 'veri', 'veery', 'veriy', 'must', 'verru', 'ameysing'];0;veriy good  aap;0.0;verry / veri / veery / veriy / must / verru / ameysing
166;85;['awesome', 'awesomeapp', 'family', 'giving', 'everything'];0;awesome app;0.0;awesome / awesomeapp / family / giving / everything
131;66;['amazing', 'incredible', 'amaising', 'indeed', 'really', 'there', 'adds'];0;its amazing;0.0;amazing / incredible / amaising / indeed / really / there / adds
0;53;[];0;good;0.0;
